name,model_type,metric_type,metric_value,train_time,single_prediction_time
9_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,rmse,169.80897785359255,3.23,0.054
4_Default_CatBoost_GoldenFeatures_SelectedFeatures,CatBoost,rmse,164.75881195141062,12.88,0.0275
19_RandomForest_SelectedFeatures,Random Forest,rmse,176.4081973542563,4.22,0.1058
26_NeuralNetwork_SelectedFeatures,Neural Network,rmse,199.34809188513375,2.84,0.039
27_LightGBM_GoldenFeatures_SelectedFeatures,LightGBM,rmse,163.56185755265278,3.26,0.062
28_LightGBM_GoldenFeatures_SelectedFeatures,LightGBM,rmse,163.56185755265278,3.18,0.062
29_CatBoost_GoldenFeatures_SelectedFeatures,CatBoost,rmse,167.85373500147443,10.58,0.026
30_CatBoost_GoldenFeatures_SelectedFeatures,CatBoost,rmse,168.21253420597773,13.35,0.028
31_LightGBM_GoldenFeatures,LightGBM,rmse,169.49659205191136,3.68,0.076
32_LightGBM_GoldenFeatures,LightGBM,rmse,169.49659205191136,3.72,0.0966
33_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,rmse,170.37746534085966,3.38,0.068
34_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,rmse,170.9660386610944,3.29,0.062
35_Xgboost_GoldenFeatures,Xgboost,rmse,174.13123282687442,3.92,0.09
36_Xgboost_GoldenFeatures,Xgboost,rmse,172.17951747085303,3.75,0.0835
37_CatBoost_GoldenFeatures,CatBoost,rmse,170.5055707189785,13.08,0.041
38_CatBoost_GoldenFeatures,CatBoost,rmse,171.8748571725291,16.41,0.04
39_RandomForest,Random Forest,rmse,178.46741978094977,4.77,0.1147
40_RandomForest_SelectedFeatures,Random Forest,rmse,176.4081973542563,4.39,0.1034
41_NeuralNetwork_SelectedFeatures,Neural Network,rmse,186.89229773219014,3.1,0.0371
42_LightGBM_GoldenFeatures_SelectedFeatures,LightGBM,rmse,163.56185755265278,3.42,0.062
43_LightGBM_GoldenFeatures_SelectedFeatures,LightGBM,rmse,164.37868765492647,3.52,0.063
44_LightGBM_GoldenFeatures_SelectedFeatures,LightGBM,rmse,163.56185755265278,3.45,0.062
45_LightGBM_GoldenFeatures_SelectedFeatures,LightGBM,rmse,164.37868765492647,3.57,0.062
46_CatBoost_GoldenFeatures_SelectedFeatures,CatBoost,rmse,164.38516427910574,14.85,0.028
47_CatBoost_GoldenFeatures_SelectedFeatures,CatBoost,rmse,166.2195669077211,13.0,0.03
48_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,rmse,167.37372430940124,3.58,0.0595
49_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,rmse,202.48100834273086,3.56,0.062
50_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,rmse,172.34343882099387,3.57,0.066
51_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,rmse,202.75911297504723,3.59,0.0575
52_RandomForest,Random Forest,rmse,178.00593559949198,5.01,0.1114
53_RandomForest,Random Forest,rmse,173.79658433206532,5.15,0.114
54_RandomForest_SelectedFeatures,Random Forest,rmse,180.92412312713762,4.57,0.104
55_RandomForest_SelectedFeatures,Random Forest,rmse,175.07141429531515,4.72,0.1056
56_NeuralNetwork_SelectedFeatures,Neural Network,rmse,208.6860124000997,3.33,0.0375
57_NeuralNetwork_SelectedFeatures,Neural Network,rmse,188.5114179193887,3.31,0.0365
58_NeuralNetwork,Neural Network,rmse,230.5074040522984,3.6,0.047
59_NeuralNetwork,Neural Network,rmse,271.7575134680819,3.6,0.05
Ensemble,Ensemble,rmse,155.4761038833569,0.83,0.382
